DB-Plant-No.,Type of Plant,Type of Plant.1,Country,Parent Company,Company Code,Company,City,State,Region,Value Chain Step,Plant No.,Last Update,Status of the Plant,Parent Manufacturer,Manufacturer_A,Manufacturer_B,Year Of Start Up,Year Of Modernizing,Nominal Capacity,Process/type Of Plant,Strip Width Min.,Strip Width Max.,Strip Thickness Min.,Strip Thickness Max.,Entry: Number Of Pay-off Reels,Entry: Coil Weight Max.,Entry: Pay-off Speed Max.,Entry: Type Of Strip Accumulator,Entry: Capacity Of Accumulator,Annealing: Strip Cleaning,Annealing: Heat Cycle,Annealing: Type Of Furnace Heating,Annealing: Cooling Cycle,Annealing: Proc. Speed Min.,Annealing: Proc. Speed Max.,Exit: Number Of Tension Reels,Exit: Coil Weight Max.,Exit: Coiling Speed Max.,Exit: Type Of Strip Accumulator,Exit: Capacity Of Accumulator Max.,Processed Strip Grades A),Processed Strip Grades B),Additional Inline Equipment,Additional Information,Latitude,Longitude
Code,Code,Text,Text,Text,Code,Text,Text,Text,Text,Text,Text,Date,Text,Text,Text,Text,Number,Number,1000 T/YEAR,Text,MM,MM,MM,MM,Number,T,M/MIN,Text,M,Text,Text,Text,Text,M/MIN,M/MIN,Number,T,M/MIN,Text,M,Text,Text,Text,Text,,
22045,77,Continuous Annealing Line,India,Posco,5701460,Posco Maharashtra Steel Pvt. Ltd.,Bhagad,Maharashtra,Asia,Cold Strip Processing,2,2023-09-07 07:09:35,Operating,Posco E&C,Posco E&C (KR),,2013,,300,CAL,0.35,0.7,900,1000,,,,,,,,,,,,,,,,,NGOES - Regular,NGOES - High Grade,Insulation Coating Line,Non Grain Oriented,18.398,73.3414
2206,77,Continuous Annealing Line,Japan,Nippon Steel,7000270,Nippon Steel,Kashima,Ibaraki,Asia,Cold Strip Processing,1,2002-10-10 20:27:15,Operating,,,,1971,1981,480,CAPL (NSC),600,1425,0.4,1.6,2,45,260,Vertical Looper,338,Electrolytic Cleaning + Pickling + Rinsing,"No Rapid Quenching, With Overageing",ARTF,,,200,2,45,260,Looper Car,445,"DQ, DDQ",,,,35.9659,140.645
221,77,Continuous Annealing Line,Brazil,Companhia Siderurgica Nacional (CSN),9100590,Companhia Siderurgica Nacional,Volta Redonda,Rio De Janeiro,Latin America & Caribbean,Cold Strip Processing,31,2003-04-29 19:56:30,Operating,NSENGI,NSENGI (JP),,1986,,400,CAPL (NSC),610,1575,0.4,1.5,,,,,,,,,,,225,,,,,,,,,,-22.5225,-44.104
22216,77,Continuous Annealing Line,United States,Acerinox SA,7900210,North American Stainl.,Ghent,Kentucky,Northern America,Cold Strip Processing,1,2018-04-20 16:20:30,Operating,SMS Group,SMS Group (DE),,2017,,95,Bright Annealing,600,1350,0.15,1.5,,28,75,Vertical Looper,,Alkaline + Brushing +  Rinsing ,,Electrically Heated,,,50,,28,75,,,Stainless Steel,,Skin Pass Mill 4-hi + Tension Leveller,vertical furnace (Drever),38.760885497,-84.99653679
22348,77,Continuous Annealing Line,China,China Baowu Steel Group,,Shandong Iron & Steel  Group Rizhao Co. Ltd. ,Rizhao,Shandong,Asia,Cold Strip Processing,1,2022-11-20 18:08:18,Operating,SMS Group,SMS Group (DE),,2018,,950,Recrystallisation,900,1850,0.3,2.5,,,,Vertical Looper,,,,ARTF,Ultra-fast Cooling,,450,,,,Vertical Looper,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,,Drever furnace,35.188969,119.383723
22349,77,Continuous Annealing Line,China,China Baowu Steel Group,,Shandong Iron & Steel  Group Rizhao Co. Ltd. ,Rizhao,Shandong,Asia,Cold Strip Processing,2,2022-11-20 18:08:31,Operating,SMS Group,SMS Group (DE),,2018,,650,Recrystallisation,900,1650,0.3,2.5,,,,Vertical Looper,,,,ARTF,Ultra-fast Cooling,,450,,,,Vertical Looper,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,,,35.188969,119.383723
22395,77,Continuous Annealing Line,China,Samsung C&T,7302930,Samsung Precision Stainless Steel (Pinghu) Co. Ltd.,Pinghu,Zhejiang,Asia,Cold Strip Processing,1,2016-01-27 00:00:00,Operating,Tenova,Tenova I2s (US),,2010,,10,Bright Annealing,300,660,0.1,1,,,,,,,,,,,,,,,,,Stainless Steel,,,,30.7005,121.0104
22396,77,Continuous Annealing Line,Turkey,"Toyo Kohan Co. Ltd. (49), Tosyali Holding (51)",2000550,Tosyali Toyo Celik A.s.,Osmaniye,,Middle East & Northern Africa,Cold Strip Processing,1,2017-10-23 16:16:29,Operating,Primetals Technologies,Primetals Technologies (JP),,2017,,240,Recrystallisation,700,1300,0.16,0.8,,30,,,,,,,,,500,,30,,,,Thin Sheet,,,"vertical furnace_x000D_
T1-T5",37.075,36.25
22432,77,Continuous Annealing Line,Taiwan,Jie Jin Material Science Tech.,7400950,Taiwan Nisshin Precision Steel Co,Tainan,,Asia,Cold Strip Processing,1,2016-02-18 18:54:40,Operating,,,,2007,,12,Bright Annealing,260,600,0.1,2,,,,Vertical Looper,,,,,,,,,,,Vertical Looper,,Stainless Steel,,,,22.9833,120.1833
2246,77,Continuous Annealing Line,Netherlands,Tata Steel,500130,Tata Steel Packaging,Ijmuiden,,Europe,Cold Strip Processing,11,2015-06-09 11:17:40,Operating,SMS Group,MDS (DE),Selas (US),1972,,200,Recrystallisation,460,1070,0.15,0.5,,,,,,,,,,,,,,,,,Thin Sheet,HSS,,,52.4586,4.6194
22520,77,Continuous Annealing Line,Germany,Outokumpu Oyj,100200,Outokumpu Nirosta GmbH,Krefeld,,Europe,Cold Strip Processing,2,2017-06-14 19:13:20,Operating,Ebner,Ebner (AT),CMI (BE),2016,,,Bright Annealing,,1600,0.2,3.2,,25,120,,,Alkaline + Brushing +  Rinsing ,,Natural Gas,,,80,,25,120,Vertical Looper,,Stainless Steel,,,"Vertikal Durchlaufglühe mit Muffeldurchziehofen (Wasserstoffatmosphäre) und Hochleistungskühlteil_x000D_
Vertical annealing line comprising a muffle furnace (hight:30m) (hydrogen atmosphere) and high-performance cooler_x000D_
NIFO (Nirosta ferritic optimisation) proj",51.3333,6.5667
22610,77,Continuous Annealing Line,India,JSW Steel Ltd,5700510,JSW Steel Coated Products Ltd,Palghar,Maharashtra,Asia,Cold Strip Processing,1,2022-06-30 10:54:13,Operating,John Cockerill,CMI FPE (IN),,2018,,200,Recrystallisation,650,1250,0.14,0.6,2,32,500,Vertical Looper,,Alkaline + Electrolytic + Pickling,,,,,400,2,32,500,Vertical Looper,,Thin Sheet,,,,19.7,72.77
22727,77,Continuous Annealing Line,China,China Baowu Steel Group,7300110,Chongqing I&S Co,Chongqing,Chongqing,Asia,Cold Strip Processing,1,2021-03-12 10:54:31,Operating,,,,2019,,900,Recrystallisation,800,1880,0.25,2.5,,,,,,,,,,,,,,,,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,,,29.55,106.5069
22855,77,Continuous Annealing Line,Germany,Acerinox SA,100460,VDM Metals GmbH,Werdohl,,Europe,Cold Strip Processing,3,2019-06-07 18:58:43,Operating,Ebner,Ebner (AT),,2019,,,Bright Annealing,350,830,0.4,4,,,,Vertical Looper,,,,Natural Gas,,,,,,,Vertical Looper,,Stainless Steel,,,"vertical gas fired double muffel furnace_x000D_
Schutzgas/protective atmosphere: H2 ",51.2563,7.7562
22856,77,Continuous Annealing Line,Italy,Acciaieria Arvedi SpA,900830,Arinox SpA,Sestri Levante,Genova,Europe,Cold Strip Processing,4,2021-02-12 18:08:07,Under Construction,Ebner,Ebner (AT),,2019,,,Bright Annealing,600,1570,0.07,1,,28,,,,,,Natural Gas,,60,,,28,,,,Stainless Steel,,Slitting Line,"Gas-fired muffle furnace (7,8 t/h)",44.2733,9.3932
23391,77,Continuous Annealing Line,India,Tata Steel,5700220,Tata Steel Ltd,Kalinga Nagar,Odisha,Asia,Cold Strip Processing,1,2024-03-11 06:42:32,Operating,John Cockerill,CMI (BE),,2022,,600,,,,,,,,,,,,,,,,,,,,,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,,,20.9763,86.0051
23404,77,Continuous Annealing Line,Slovakia,United States Steel Corporation,2410500,"U.S. Steel Kosice, S.R.O.",Kosice,,Europe,Cold Strip Processing,24,2021-02-10 23:29:46,Operating,Tenova,Tenova-Loi (DE),,2020,,100,"Decarburizing, Recrystalization Line",700,1300,0,35,1,20,,,,,,,,,,,,,,,Electrical Steel,,Insulation Coating Line,NGO steel grade,48.7167,21.25
23514,77,Continuous Annealing Line,China,Hebei Jingye Group,7302190,Hebei Jingye Group,Tangshan City,Hebei,Asia,Cold Strip Processing,1,2024-03-25 10:23:10,Operating,MCC Group,CISDI (CN),,2023,,600,CAL,750,1350,0.3,2.5,,,,,,Alkaline + Electrolytic + Pickling,,Vertical ARTF,,,360,,,,,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",,Skin Pass+ Tension Leveller + Coater,"_x000D_
.",40.209844,118.220547
23670,77,Continuous Annealing Line,Germany,ThyssenKrupp AG,100020,ThyssenKrupp Steel Europe AG,Bochum,,Europe,Cold Strip Processing,4,2025-01-29 07:12:01,Operating,SMS Group,SMS Group (DE),,2025,,218,Recrystallisation,700,1350,0.2,1,,31,,Horizontal Looper,,Alkaline + Brushing + Electrolytic + Rinsing,,Horizontal RTF/Induction/Electrically,Radiant + Jet Cooler,,,,31,,Horizontal Looper,,NGOES - xEV Grade,NGOES - High Grade,Insulation Coating Line,resource-saving Drever furnace,51.47660542,7.16523846
2434,77,Continuous Annealing Line,Japan,JFE Steel Corp.,7000120,JFE Steel Corp.,Kurashiki,Okayama,Asia,Cold Strip Processing,1,2023-10-18 05:48:12,Operating,Primetals Technologies,Mitsubishi Heavy Industriues (JP),,1984,1987,1000,KM-CAL (Kawasaki),600,1600,0.18,1.6,,45,,,,,,,Gas Roll Quenching RGCC (Kawasaki),,400,,45,,,,"DQ, DDQ","HSS, Electrical Steel",Insulation Coating Line,,34.585,133.772
2482,77,Continuous Annealing Line,Japan,JFE Steel Corp.,7000120,JFE Steel Corp.,Chiba,Chiba,Asia,Cold Strip Processing,2,2008-10-07 11:03:48,Operating,Primetals Technologies,Mitsubishi Heavy Industriues (JP),,1980,1985,360,KM-CAL (Kawasaki),580,1300,0.15,1.2,,,,,,,,,,,720,,,,,,CQ,"DQ, DDQ",,,35.604,140.123
2552,77,Continuous Annealing Line,United States,Cleveland-Cliffs,7900390,Cleveland-Cliffs,East Chicago,Indiana,Northern America,Cold Strip Processing,3,2023-09-06 22:09:49,Operating,Itam Aetna Standard,Itam Aetna Standard (US),,1983,2007,350,NKK - CAL,600,1525,0.48,2.1,2,,,Looping Tower,275,Alkaline + Brushing +  Rinsing ,Rapid Quenching + Overageing,Natural Gas,Gas-Jet Cooling,,140,2,,,Looping Tower,270,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",DP,,"ex Inland Steel_x000D_
Eigentümer/ownership: Ispat International N.V. (LNM Group) -1998",41.66551677,-87.42825253
3020,77,Continuous Annealing Line,Japan,JFE Steel Corp.,7000120,JFE Steel Corp.,Kawasaki,Kanagawa,Asia,Cold Strip Processing,1,2023-11-28 05:27:44,Shut Down,,,,1987,,960,NKK - CAL,600,1650,0.35,2.3,,,,,,,Without Overaging,,,,,,,,,,CQ,"DQ, DDQ",,"Stillgelegt/shut-down: 2002, August",35.5167,139.7
3028,77,Continuous Annealing Line,France,ArcelorMittal SA,200130,ArcelorMittal Lorraine,Florange,,Europe,Cold Strip Processing,1,2013-08-22 16:01:55,Operating,Fives Group,Fives Group (FR),,1988,,500,KM-CAL (Kawasaki),700,1700,0.17,1.4,,31,,Looping Tower,,,Rapid Quenching + Overageing,,,200,600,,31,,Looping Tower,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,Skin Pass Mill 4-hi,"Dressierwalzwerk in der Linie: 1x Quarto CVC_x000D_
In line skin pass  mill: 1 x 4-high CVC",49.3214,6.1183
3066,77,Continuous Annealing Line,South Korea,Posco,7100040,Posco,Pohang,,Asia,Cold Strip Processing,12,2015-02-23 13:06:59,Operating,SMS Group,MDS (DE),Posco E&C (KR),1987,2005,300,Recrystallisation,500,1270,0.15,0.8,2,28,675,Looping Tower,672,Electrolytic Cleaning + Pickling + Rinsing,,ARTF,,,500,2,28,675,Looping Tower,1120,Thin Sheet,"DQ, DDQ",,,36.019,129.3435
3071,77,Continuous Annealing Line,South Korea,Posco,7100040,Posco,Gwangyang,South Jeolla,Asia,Cold Strip Processing,1,2015-02-23 18:08:27,Operating,Primetals Technologies,Mitsubishi Heavy Industriues (JP),,1989,,840,KM-CAL (Kawasaki),720,1650,0.3,1.6,2,40,800,Looping Tower,820,Electrolytic Cleaning + Pickling + Rinsing,,ARTF,,150,430,2,40,620,Looping Tower,966,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",,Skin Pass Mill,,34.94,127.69
3228,77,Continuous Annealing Line,Japan,JFE Steel Corp.,7000120,JFE Steel Corp.,Fukuyama,Hiroshima,Asia,Cold Strip Processing,4,2016-06-02 18:36:40,Operating,NKK,NKK (JP),Selas (US),1993,,960,NKK - CAL,900,1880,0.35,1.6,1,,,Vertical Looper,,Electrolytic Cleaning,Accelerated Cooling + Overageing,,Gas-Jet Cooling,,400,1,,,Vertical Looper,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,Skin Pass Mill 4-hi,"2002: ""Delta-Eye"" steel strip surface inspection and marking system_x000D_
Ofen/furnace: DFF (Selas)_x000D_
Vertical DF+RT furnace",34.486,133.3624
3279,77,Continuous Annealing Line,United States,United States Steel Corporation,0,U.S. Steel,Gary,Indiana,Northern America,Cold Strip Processing,32,2011-01-13 17:11:19,Operating,Aetna-Standard,Aetna-Standard (US),,1960,1989,350,Normalizing,558,965,0.18,0.38,,,,,,,,Natural Gas,,,457,,,,,,Thin Sheet,CQ,,,41.6021,-87.3371
3345,77,Continuous Annealing Line,Germany,ThyssenKrupp AG,100070,ThyssenKrupp Rasselstein GmbH,Andernach,,Europe,Cold Strip Processing,3,2017-01-13 13:03:20,Operating,SMS Group,Drever International (BE),,1975,2012,325,Recrystallisation,600,1200,0.15,0.5,2,26,700,Looping Tower,664,Electrolytic Cleaning + Pickling + Rinsing,,Natural Gas,Gas-Jet Cooling,80,600,2,26,700,Looping Tower,360,Thin Sheet,"DQ, DDQ",,,50.4397,7.4017
3346,77,Continuous Annealing Line,Germany,ThyssenKrupp AG,100070,ThyssenKrupp Rasselstein GmbH,Andernach,,Europe,Cold Strip Processing,4,2017-01-13 13:04:01,Operating,SMS Group,Drever International (BE),Kawasaki Heavy Industries (JP),1984,2015,330,KM-CAL (Kawasaki),650,1580,0.17,1.6,2,35,600,Looping Tower,552,Electrolytic Cleaning + Pickling + Rinsing,Accelerated Cooling + Overageing,Natural Gas,Gas-Jet Cooling,60,450,2,35,600,Looping Tower,370,Thin Sheet,"DQ, DDQ",,2015: new drive and automation technology (ANDRITZ METALS),50.4397,7.4017
3562,77,Continuous Annealing Line,Japan,Nippon Steel,7000270,Nippon Steel,Yawata-tobata,Fukuoka,Asia,Cold Strip Processing,22,2010-09-15 17:35:11,Operating,Primetals Technologies,IHI (JP),Kawasaki Heavy Industries (JP),1968,1979,380,Normalizing,,1067,,,,,,,,,,,,,,,,,,,Thin Sheet,"DQ, DDQ",,,33.911803,130.838014
359,77,Continuous Annealing Line,United Kingdom,Tata Steel,600210,Cogent Orb Electrical Steels,Newport,South Wales,Europe,Cold Strip Processing,1,2023-11-28 05:27:44,Shut Down,,,,1959,1981,80,,600,1120,,,,,,,,,,,,,,,,,,,Electrical Steel,,Coil Coating Line,"Orb Electrical Steels Ltd_x000D_
2006: Eigentümer/ownership: Cogent Power Ltd (Corus Group plc (100 %)",51.5842,-2.9977
360,77,Continuous Annealing Line,United States,RG Steel LLC,8000100,RG Steel LLC,Warren,Ohio,Northern America,Cold Strip Processing,1,2013-10-17 13:58:04,Shut Down,,,,1976,,120,Normalizing,457,1105,0.35,0.95,2,18.1,,Looper Car,220,,,Gas + Electrical,,,92,2,18.1,,Looping Pit,28,Electrical Steel,,Coil Coating Line,"ex Warren Consolidated Steel  Industries Inc.; ex WCI Steel Inc._x000D_
ex Severstal - 2008_x000D_
_x000D_
",41.2376,-80.8184
3632,77,Continuous Annealing Line,Italy,Acciaierie D'Italia,900100,Acciaierie D'Italia,Genoa,Genova,Europe,Cold Strip Processing,1,2023-09-06 22:09:52,Shut Down,Danieli,Wean United (US),Tenova (IT),1950,2002,110,Recrystallisation,550,1050,0.17,0.6,,,,,,,,Natural Gas,,,300,,,,,,Thin Sheet,CQ,,,44.4072,8.934
3740,77,Continuous Annealing Line,Italy,Acciaierie D'Italia,900100,Acciaierie D'Italia,Novi Ligure,Alessandria,Europe,Cold Strip Processing,1,2013-07-05 11:36:22,Operating,SMS Group,Italimpianti (IT),,1993,,1080,CAPL (NSC),700,1650,0.4,1.6,,,,,,,Rapid Quenching + Overageing,,,,450,,,700,,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",,Skin Pass Mill,Furnace: Stein Heurty,44.7592,8.7856
3876,77,Continuous Annealing Line,Belgium,ArcelorMittal SA,300500,ArcelorMittal Gent,Ghent,,Europe,Cold Strip Processing,1,2013-07-05 11:42:00,Operating,SMS (DE),SMS (DE),,1981,2003,840,CAPL (NSC),580,1680,0.3,2,2,35,450,Looping Tower,648,Electrolytic Cleaning + Pickling + Rinsing,Rapid Quenching + Overageing,Natural Gas,Gas-Jet Cooling,,330,2,35,464,Looper Car,800,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",DP,Skin Pass Mill + Tension Leveller,"ex SIDMAR_x000D_
Dressiergerüst: Stützwalzen- / Arbeitswalzendurchmesser: 1100 / 440 mm_x000D_
Temper Mill: back up roll- / work roll dia.: 1100 / 440 mm",51.170249514,3.803658921
3908,77,Continuous Annealing Line,France,ArcelorMittal SA,200710,ArcelorMittal Packaging,Basse-Indre,,Europe,Cold Strip Processing,1,2011-08-18 12:03:50,Operating,Fives Group,Fives Stein (FR),Clecim (FR),1987,1991,400,CAPL (NSC),600,1200,0.15,0.5,,,,,,,,Electrically Heated,Gas-Jet Cooling,,500,,,,,,Thin Sheet,"DQ, DDQ",,,47.1997,-1.6681
3931,77,Continuous Annealing Line,Germany,Outokumpu Oyj,100200,Outokumpu Nirosta GmbH,Dillenburg,,Europe,Cold Strip Processing,1,2013-01-10 14:54:53,Operating,Andritz ,Andritz Sundwig (DE),,1971,,70,Bright Annealing,800,1550,0.2,3.5,2,28,70,Looping Tower,160,Alkaline + Brushing +  Rinsing ,,Natural Gas,,5,50,1,28,70,Looping Tower,160,Stainless Steel,,Skin Pass Mill,"Ofenlänge/furnace length: 24 m; Länge Kühlzone/length of cooling zone: 13 m_x000D_
ex ThyssenKrupp Nirosta_x000D_
Eigentümer/ownership: Outokumpu - 2012, Dec. 29th",50.7333,8.2833
3933,77,Continuous Annealing Line,Italy,Acciaierie D'Italia,900100,Acciaierie D'Italia,Genoa,Genova,Europe,Cold Strip Processing,2,2023-09-06 22:09:53,Operating,SMS Group,Italimpianti (IT),Wean-Damiron (FR),1982,,180,Recrystallisation,550,1050,0.17,0.6,,,580,,,,,Natural Gas,,,450,,,580,,,Thin Sheet,CQ,,,44.4072,8.934
4022,77,Continuous Annealing Line,United States,United States Steel Corporation,0,U.S. Steel,Midwest Portage,Indiana,Northern America,Cold Strip Processing,1,2021-02-10 13:50:41,Operating,,,,1961,,380,Normalizing,457,1092,0.19,0.5,,,,,,,,Natural Gas,,,,,,,,,Thin Sheet,"DQ, DDQ",,2003: Eigentümer/ownership: U.S. Steel,41.5759,-87.1761
4039,77,Continuous Annealing Line,Brazil,Companhia Siderurgica Nacional (CSN),9100590,Companhia Siderurgica Nacional,Volta Redonda,Rio De Janeiro,Latin America & Caribbean,Cold Strip Processing,13,2009-08-26 18:32:28,Operating,Primetals Technologies,Mitsubishi Heavy Industriues (JP),Kawasaki Heavy Industries (JP),1982,,240,Normalizing,457,1067,0.15,0.38,,,,,,,,,,,366,,,,,,Thin Sheet,"DQ, DDQ",,,-22.5225,-44.104
4044,77,Continuous Annealing Line,Brazil,Companhia Siderurgica Nacional (CSN),9100590,Companhia Siderurgica Nacional,Volta Redonda,Rio De Janeiro,Latin America & Caribbean,Cold Strip Processing,11,2009-08-26 18:31:38,Operating,Primetals Technologies,Mitsubishi Heavy Industriues (JP),Selas (US),1977,,240,Normalizing,457,1067,0.15,0.38,,,,,,,,,,,366,,,,,,Thin Sheet,"DQ, DDQ",,,-22.5225,-44.104
4063,77,Continuous Annealing Line,Brazil,Companhia Siderurgica Nacional (CSN),9100590,Companhia Siderurgica Nacional,Volta Redonda,Rio De Janeiro,Latin America & Caribbean,Cold Strip Processing,12,2009-08-26 18:32:01,Operating,Primetals Technologies,Mitsubishi Heavy Industriues (JP),,1981,,240,Normalizing,457,1067,0.15,0.38,,,,,,,,,,,366,,,,,,Thin Sheet,"DQ, DDQ",,,-22.5225,-44.104
4086,77,Continuous Annealing Line,Japan,JFE Steel Corp.,7000120,JFE Steel Corp.,Chiba,Chiba,Asia,Cold Strip Processing,4,2010-09-15 17:25:59,Operating,Primetals Technologies,Mitsubishi Heavy Industriues (JP),,1990,,560,KM-CAL (Kawasaki),600,1067,0.15,0.4,2,22,,Looping Tower,,Alkaline + Brushing +  Rinsing ,With Rapid Quenching,Electrically Heated,Gas-Jet Cooling,,,2,22,,Looping Tower,,Thin Sheet,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Skin Pass Mill + Tension Leveller,,35.604,140.123
424,77,Continuous Annealing Line,United Kingdom,Tata Steel,600210,Cogent Orb Electrical Steels,Newport,South Wales,Europe,Cold Strip Processing,2,2023-11-28 05:27:44,Shut Down,,,,1961,1982,80,,600,1120,,,,,,,,,,,,,,,,,,,Electrical Steel,,Coil Coating Line,"Orb Electrical Steels Ltd_x000D_
2006: Eigentümer/ownership: Cogent Power Ltd (Corus Group plc (100 %)",51.5842,-2.9977
425,77,Continuous Annealing Line,United Kingdom,Tata Steel,600210,Cogent Orb Electrical Steels,Newport,South Wales,Europe,Cold Strip Processing,3,2023-11-28 05:27:44,Shut Down,,,,1965,1982,80,,600,1120,,,,,,,,,,,,,,,,,,,Electrical Steel,,Coil Coating Line,"Orb Electrical Steels Ltd_x000D_
2006: Eigentümer/ownership: Cogent Power Ltd (Corus Group plc (100 %)",51.5842,-2.9977
4329,77,Continuous Annealing Line,Slovakia,United States Steel Corporation,2410500,"U.S. Steel Kosice, S.R.O.",Kosice,,Europe,Cold Strip Processing,1,2021-02-10 23:30:17,Operating,Fives Group,Heurtey (FR),Tenova Italimpianti (It),1970,1997,160,Recrystallisation,765,1020,0.18,0.4,,15,,Vertical Looper,,,,,Gas-Jet Cooling,,,,15,,,,Thin Sheet,"DQ, DDQ",,"ex VSZ  Ocel_x000D_
Eigentümer/ownership: U.S. Steel Corp. (2000, Nov.)",48.7167,21.25
4471,77,Continuous Annealing Line,Turkey,Oyak Mining Metallurgy,2000050,Eregli Demir Celik,Eregli,,Middle East & Northern Africa,Cold Strip Processing,21,2006-12-19 19:05:04,Operating,SMS Group,MDS (DE),Andritz Selas (FR),1996,,900,NKK - CAL,625,1525,0.4,2,,30,480,,,Alkaline + Brushing + Electrolytic + Rinsing,,ARTF,,320,,,30,540,,,"DQ, DDQ",HSS,Skin Pass Mill,Ofen/furnace: ART (Selas),41.2799,31.4203
4594,77,Continuous Annealing Line,Belgium,Liberty Steel Group,300660,Liberty Liege,Liege-Tilleur,,Europe,Cold Strip Processing,1,2025-04-29 07:14:56,Idle,Fives Group,Fives Group (FR),Drever International (BE),1971,1992,250,Recrystallisation,550,1050,0.1,0.5,2,27,750,Looping Tower,450,Pickling,,Natural Gas,Gas-Jet Cooling,,490,2,27,750,Looping Tower,450,Thin Sheet,"DQ, DDQ",,ex COCKERILL SAMBRE,50.6176,5.5425
4595,77,Continuous Annealing Line,Belgium,ArcelorMittal SA,300150,ArcelorMittal Liege,Liege-Kessales,,Europe,Cold Strip Processing,1,2017-02-09 14:56:17,Operating,John Cockerill,CMI (BE),,1985,2016,300,CAL/GI/GA,600,1650,0.3,2.8,2,30,,Looping Tower,450,Deoxidising Annealing,Rapid Quenching + Overageing,ARTF,Hot Water - Water Mist Howaq,,230,2,30,,Looper Car,450,"DQ, DDQ",HSS,Skin Pass Mill 4-hi,"2011, 3.Q: new furnace spare parts (Ebner, AT)_x000D_
2016: Jet Vapor Deposition (Zinc)",,
4707,77,Continuous Annealing Line,Italy,Acciaieria Arvedi SpA,900110,Acciai Speciali Terni SpA,Terni,,Europe,Cold Strip Processing,3,2023-09-06 22:09:54,Operating,Tenova,Tenova (US),,2009,,30,Bright Annealing,600,1320,0.35,2,,25,,,,,,Natural Gas,,,45,,25,,,,Stainless Steel,DP,,"2009: relocation ex THYSSENKRUPP AC. SPEC. TURIN facility_x000D_
ex THYSSENKRUPP AC. SPEC. TERNI_x000D_
_x000D_
",42.5667,12.65
4947,77,Continuous Annealing Line,Japan,Nippon Steel,7000270,Nippon Steel,Nagoya,Aichi,Asia,Cold Strip Processing,2,2015-04-15 07:44:30,Operating,NSENGI,NSENGI (JP),,1991,,480,CAPL (NSC),600,1270,0.15,0.4,,,,,,Electrolytic Cleaning + Pickling + Rinsing,,,,,600,,,,,,Thin Sheet,CQ,Skin Pass Mill,,35.1167,136.9333
498,77,Continuous Annealing Line,United Kingdom,Outokumpu Oyj,600080,Outokumpu Stainless,Sheffield,,Europe,Cold Strip Processing,1,2023-09-06 22:09:44,Shut Down,,,,1978,,50,Bright Annealing,,1600,,,,,,,,,,,,,,,,,,,Stainless Steel,,,"ex Avesta Sheffield Ltd_x000D_
",53.3833,-1.4667
499,77,Continuous Annealing Line,United Kingdom,Outokumpu Oyj,600080,Outokumpu Stainless,Panteg,,Europe,Cold Strip Processing,1,2005-10-07 21:17:36,Shut Down,,,,1971,,15,Bright Annealing,,1270,,,,,,,,,,,,,,,,,,,Stainless Steel,,,ex Avesta Sheffield Ltd,51.6815,-3.0227
5003,77,Continuous Annealing Line,Japan,Nippon Steel,7000270,Nippon Steel,Yawata-tobata,Fukuoka,Asia,Cold Strip Processing,21,2010-09-15 17:36:02,Operating,Danieli,Wean United (US),,1960,,340,Normalizing,,965,,,,,,,,,,,,,,,,,,,Thin Sheet,"DQ, DDQ",,,33.911803,130.838014
5178,77,Continuous Annealing Line,United Kingdom,Tata Steel,500130,Tata Steel Packaging,Trostre,,Europe,Cold Strip Processing,3,2015-06-09 11:19:49,Operating,Danieli,Wean United (US),,1962,,160,Recrystallisation,650,965,0.1,0.64,,,,,,,,,,,366,,13.5,,,,Thin Sheet,"DQ, DDQ",,,51.6728,-4.1422
5212,77,Continuous Annealing Line,United Kingdom,Tata Steel,500130,Tata Steel Packaging,Ebbw Vale,Blaenau Gwent,Europe,Cold Strip Processing,1,2015-06-09 11:16:29,Shut Down,,,,1965,,180,Recrystallisation,,983,,,,20,,,,,,,,,380,,20,,,,Thin Sheet,CQ,,Stiilgelegt/shut down: July 2002 ,51.7779,-3.2117
5260,77,Continuous Annealing Line,France,ArcelorMittal SA,200710,ArcelorMittal Packaging,Florange,,Europe,Cold Strip Processing,2,2023-09-06 22:09:56,Operating,,,,1988,,400,Recrystallisation,700,1550,0.7,1,,,,,,,,,,600,,,,,,,Thin Sheet,HSS,,,49.3214,6.1183
